-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-0.454614,-0.612509,-0.671354,-0.689782,-0.684772,-0.659196,-0.608559,-0.518168,-0.346989,0.027126,1
0,-0.206489,-0.32511,-0.384586,-0.404757,-0.392027,-0.345365,-0.258637,-0.118589,0.102037,0.454946,1
0,-0.0472768,-0.0988593,-0.139924,-0.156013,-0.136886,-0.0752838,0.0345832,0.197596,0.416767,0.689572,1
0,0.114779,0.114071,0.0758354,0.0527909,0.0706314,0.141382,0.269918,0.453682,0.675042,0.885104,1
0,0.390559,0.361144,0.271675,0.215007,0.219033,0.294047,0.444308,0.667421,0.941212,1.17403,1
2,1.08439,0.664581,0.429551,0.310313,0.289673,0.364687,0.539614,0.825297,1.24465,1.86786,3
2,1.2805,0.779539,0.466463,0.300787,0.257872,0.328623,0.517914,0.84431,1.34051,2.05082,3
2,1.25629,0.703204,0.35121,0.162758,0.106155,0.167757,0.353355,0.68873,1.21883,1.99314,3
2,1.03999,0.422939,0.0684468,-0.111897,-0.168973,-0.122311,0.0342236,0.334444,0.850086,1.70142,3
2,0.479656,-0.121913,-0.391307,-0.513246,-0.551565,-0.525989,-0.432023,-0.238121,0.143607,0.961396,3
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
